title,details,description,url
Site Reliability Engineer to the product company (cybersecurity),"KaterynaSlenzak,TalentSourcerвDynamoDevelopmentInc. Київ·3рокидосвіду·UpperIntermediate","We are looking for a Site Reliability Engineer with an ""automation first"" mindset who is passionate about performance and stability. The SRE will work closely with the Dev teams and the DevOps Engineers to ensure the security, resiliency, and scale of production services.",https://djinni.co/jobs/222406-site-reliability-engineer-to-the-product-comp/
Key Ruby on Rails developer,"АллаЦугульская,IT-рекрутервITрекрутинговоеагентствоIndigo Віддаленаробота·5роківдосвіду·UpperIntermediate","Канадская продуктовая компания в поиске ключевого Ruby on Rails developer, который будет принимать архитектурные решения и возьмет на себя техническое лидерство команды senior developers.
Продукт в сфере логистики. 
Преимущества: достойные условия, развитие, стабильность.",https://djinni.co/jobs/207881-key-ruby-on-rails-developer/
Full Stack Ruby Developer в продукт,"АллаЦугульская,IT-рекрутервITрекрутинговоеагентствоIndigo Віддаленаробота·5роківдосвіду","Ребята делают популярные соц. сети для общения и знакомств. Преимущества: хайлоуд проект, команда единомышленников, стабильность, пробуют новые подходы и технологии, есть возможность влиять на продукт, вносить архитектурные решения, быстрая обратная связь от менеджеров и пользователей.",https://djinni.co/jobs/144426-full-stack-ruby-developer-v-produkt/
Ruby on Rails Developer,"ОксанаМаленьких,RecruiterвLITSLINK Київ,Харків,Дніпро,Одеса,Запоріжжя,Миколаїв·3рокидосвіду·Intermediate",LITSLINK looking for experienced RoR developers,https://djinni.co/jobs/207637-ruby-on-rails-developer/
Senior Engineer - Ruby on Rails,"BenjaminN.Torres,COOвTAPNetworkCOO Київ,Львів·5роківдосвіду·Advanced/Fluent","We are looking for a passionate engineer to join the band remotely.  If you are excited by the opportunity to influence the overall architecture of our systems, interesting scalability, privacy challenges we would love to chat!",https://djinni.co/jobs/131376-senior-engineer-ruby-on-rails/
Senior Ruby on Rails Back End Developer,"LarysaRozumeyenko,ITRecruiterвFreelance Віддаленаробота·5роківдосвіду·UpperIntermediate",DI.FM is looking for a Senior Rails Backend Developer with 5+ years of experience building services and API's using Ruby/Rails  for a full-time position in the Product Development group. Remote.,https://djinni.co/jobs/169754-senior-ruby-on-rails-back-end-developer/
Senior Ruby Engineer,"AnnaNazarenko,HRGeneralistвLOBBYX Київ,remote·3рокидосвіду·Intermediate","We're looking for a proficient Senior Ruby Engineer to join the team of a German fintech product company.
Main stack - Ruby, AWS, microservices. (Not just RoR!)
Can be fully remote or office after quarantine ends.",https://djinni.co/jobs/171507-senior-ruby-engineer/
Full-Stack (RoR/JS) Developer,"AnastasiiaKorytnyuk(Ievdovska),RecruiterвNCube Віддаленаробота·5роківдосвіду·UpperIntermediate","We are looking for an experienced Ruby on Rails Developer who wants to develop our client’s well-received marketing platform, other products and unique ideas. Here you will get to work closely with other remote and in-house developers, and with every department within the company.",https://djinni.co/jobs/222119-full-stack-ror-js-developer/
Senior Node.js Engineer,"AnastasiiaKorytnyuk(Ievdovska),RecruiterвNCube Віддаленаробота·5роківдосвіду·UpperIntermediate",We are looking for Senior Node.js Engineer for our client to develop business proxy network platform to international customers all while expanding with new services and projects.,https://djinni.co/jobs/222113-senior-node-js-engineer/
Senior Ruby Developer IRC112220,"KarynaPokhylko,RecruiterвGlobalLogic Львів,remote·3рокидосвіду·UpperIntermediate",Our client is the leading TV streaming platform in the US. We are looking for a Senior Back-End develper to join the team working on industry-leading Digital Marketing Management platform used by advertisers to manage their online ad campaigns across all media channels.,https://djinni.co/jobs/222064-senior-ruby-developer-irc112220/
Senior Ruby SDET / Automation Engineer,"OleksandrChabaniuk,RecruiterвPolytechSoftware Віддаленаробота·3рокидосвіду·Intermediate","Запрошуємо Senior Ruby SDET / Automation Engineer в проект, який являє собою сервіс з продажу друкованої продукції по всій Європі та світу.",https://djinni.co/jobs/192158-senior-ruby-sdet-automation-engineer/
Junior Ruby SDET/Automation Engineer,"OleksandrChabaniuk,RecruiterвPolytechSoftware Віддаленаробота·2рокидосвіду·Intermediate",Запрошуємо Junior Ruby SDET / automation engineer.,https://djinni.co/jobs/192175-junior-ruby-sdet-automation-engineer/
Ruby on Rails developer,"ValeriyaUmanets,Recruiterвblyzenko Львів·1рікдосвіду","Компанія: LUFT software
Проект: розробка в сфері Ecommerce (B2C та B2B), ERP систем, складських програм та програмного забезпечення для автоматизації бізнес процесів торгових компаній.",https://djinni.co/jobs/204110-ruby-on-rails-developer/
Middle Ruby Full-Stack Developer,"HannaMaistrenko,ITResearcher/AnalystвITernalGroup Київ,Харків,remote·1рікдосвіду·UpperIntermediate",ITernal Group looking for a Strong Junior Ruby Full-Stack Developer for a social media engagement-based loyalty program,https://djinni.co/jobs/208036-middle-ruby-full-stack-developer/
Software Test Automation Engineer (RubyOnRails),"AlionaShvechikova,LeadRecruiterвEPAM Київ,remote·3рокидосвіду·Intermediate","Our client is the largest non-bank lender in the United States and a leading consumer finance company.

4+ years of experience in software testing
Solid knowledge of RubyOnRails desired",https://djinni.co/jobs/208212-software-test-automation-engineer-rubyonrails/
