title,details,description,url
Senior Perl Developer,"AnnaYeliseeva,RecruiterвExadel Київ,Харків,Одеса·3рокидосвіду·Intermediate",We are looking for an experienced Senior Perl Developer to come and join our team!,https://djinni.co/jobs/208465-senior-perl-developer/
Middle Automation QA (.NET),"AnnaYeliseeva,RecruiterвExadel Київ,Харків,Львів,Одеса,Вінниця,remote·2рокидосвіду·Intermediate",Currently we are looking for a talented Middle Automation QA (.Net) to join our awesome team!,https://djinni.co/jobs/208728-middle-automation-qa-net-/
Senior JavaScript Developer (Node.js),"AnnaYeliseeva,RecruiterвExadel Харків,Одеса,remote·3рокидосвіду·Intermediate",We are looking for a Senior JavaScript Developer (Node.js) to produce scalable software solutions.,https://djinni.co/jobs/208782-senior-javascript-developer-node-js-/
Junior/Trainee backend developer,"AlexeyBondarchuk,FounderвFaifly Харків·бездосвіду","На In-house проект под присмотром ментора, без спешки и дедлайнов. Необходимо уже обладать базовыми навыками программирования. Это не курсы, не обучение, не стажировка, а полноценная работа с оплатой труда.",https://djinni.co/jobs/208642-junior-trainee-backend-developer/
Junior/Trainee Android developer,"AlexeyBondarchuk,FounderвFaifly Харків·бездосвіду","На In-house проект под присмотром ментора, без спешки и дедлайнов. Необходимо уже обладать базовыми навыками программирования. Это не курсы, не обучение, не стажировка, а полноценная работа с оплатой труда.",https://djinni.co/jobs/208621-junior-trainee-android-developer/
First Senior Full-stack Engineer in a start-up,"MarthaUshakova,AccountManagerвIndigoTechRecruiters Віддаленаробота·3рокидосвіду·UpperIntermediate","Fintastic is a new startup based in Tel Aviv, founded by successful repeat entrepreneurs, and funded by top tier VCs in the US. We are working in stealth mode with the ambitious goal of developing a first of its kind, AI-driven financial planning and analysis platform that is set to disrupt the corp",https://djinni.co/jobs/202797-first-senior-full-stack-engineer-in-a-start-u/
Scrum Master,"MarthaUshakova,AccountManagerвIndigoTechRecruiters Київ,remote·3рокидосвіду·Intermediate","As a Scrum Master, you will be responsible for facilitating ceremonies and team delivery, removing (and guiding the team to remove) blockers and impediments, assessing and coaching the team to higher levels of Scrum maturity and building a trusting and safe environment.",https://djinni.co/jobs/208891-scrum-master/
Recruiting Coordinator,"AlexVerkunich,TechnicalRecruiterвLyft Київ,remote·1рікдосвіду·UpperIntermediate","Lyft is seeking a highly organized, efficient and energetic Recruiting Coordinator to help us strategically grow our world-class team in Kyiv. The role will support the recruiters with the objective of successfully coordinating high-volume and fast-paced interview activity on the recruitment",https://djinni.co/jobs/222452-recruiting-coordinator/
Senior DevOps engineer,"AlexeyKorzhov,Co-Founderв2K-Group Віддаленаробота·5роківдосвіду·UpperIntermediate","Looking for experienced DevOps engineer (5 years and more experience), 
English speaking.
Remote job.
Big international team.",https://djinni.co/jobs/173684-senior-devops-engineer/
QA Automation Engineer (JavaScript),"IrynaPetrova,RecruiterвKeenEthics Віддаленаробота·3рокидосвіду","Запрошуємо в команду досвідченого AQA with JavaScript.
В тебе буде можливість налаштувати тестове середовище і QA процеси на декількох проектах на основі блокчейну.
Англійська - не важлива:)
Remote",https://djinni.co/jobs/208298-qa-automation-engineer-javascript-/
Senior Java Developer на долгосрочный аутсорс проект,"EkaterinaVerbovskaya,ITRecruiterвINSART Київ,Харків,remote,onlyUkraine·5роківдосвіду·UpperIntermediate","Разработка динамичного проекта, B2B платформы по сбору донейшенов по всему миру, заказчика из США.",https://djinni.co/jobs/172524-senior-java-developer-na-dolgosrochnyi-autsor/
Sales Manager,"AnnaTiurina,HRGeneralistвNewoldstamp Львів·2рокидосвіду·UpperIntermediate","If you want to become a part of a rapidly growing awesome start-up team, you are very welcome! Hop on, we really need you! Newoldstamp is looking for a  Sales Manager who wants to work creatively and strive for best results.",https://djinni.co/jobs/155392-sales-manager/
Android (Kotlin) Developer,"AlexandraKosvintseva,HRGeneralistвMyCredit Харків·2рокидосвіду·Intermediate","Проект OnCredit вышел на азиатский рынок! Мы компания с самыми прогрессивными технологиями, входим в ТОП 3 самых продвинутых Финтех компаний Украины. Приглашаем в команду Android Developer",https://djinni.co/jobs/208570-android-kotlin-developer/
Front-end (Game) developer,"AnastasiiaNesterenko,IT-recruiterвDigicode remote,Полтава·1рікдосвіду·Intermediate",We are looking for Junior Frontend (Game) developer!,https://djinni.co/jobs/101391-front-end-game-developer/
Talent Acquisition Specialist (Apps and GameDev),"VasylynaTurlai,RecruiterвGenesis Київ,remote·1рікдосвіду·Intermediate","Ми шукаємо мотивованого Talent Acquisition Specialist, щоб підсилити нашу команду. Ти точно наш кандидат, якщо хочеш працювати серед фанатів своєї справи в динамічних умовах з різноманітними вакансіями та наймати виключно A-плеєрів.",https://djinni.co/jobs/208319-talent-acquisition-specialist-apps-and-gamede/
